Thai_Name,Botanical_NoAuthor,Botanical_Name,Count_Tags,Cout_GBH_2023,Cout_GBH_2025,Min_Height_2023,Mean_Height_2023,Max_Height_2023,Min_Height_2025,Mean_Height_2025,Max_Height_2025
,Artocarpus sp.BuengKan1,Artocarpus sp.BuengKan1,1,0,1,,,,,,
,Artocarpus sp.Chumphon1,Artocarpus sp.Chumphon1,3,0,3,,,,11.6,13.63,15.9
,Artocarpus sp.Trang1,Artocarpus sp.Trang1,1,0,1,,,,13.2,13.2,13.2
,Barringtonia sp.,Barringtonia sp.,2,2,2,7,7.5,8,10.6,12.3,14
,Bridelia sp.Chachoengsao1,Bridelia sp.Chachoengsao1,1,0,1,,,,5.4,5.4,5.4
,Catunaregam sp.MaeHongSon1,Catunaregam sp.MaeHongSon1,1,0,1,,,,5.5,5.5,5.5
,Chionanthus sp.Trat1,Chionanthus sp.Trat1,1,0,1,,,,8,8,8
,Cinnamomum sp.Trang1,Cinnamomum sp.Trang1,2,0,2,,,,9.2,10.05,10.9
,Cinnamomum sp.Trat1,Cinnamomum sp.Trat1,1,0,1,,,,20.4,20.4,20.4
,Croton sp.Trat1,Croton sp.Trat1,2,0,2,,,,6,6.25,6.5
,Dasymachalon sp.Trat1,Dasymachalon sp.Trat1,3,0,3,,,,6,6.33,7
,Diospyros sp.AmnatCharoen1,Diospyros sp.AmnatCharoen1,1,0,1,,,,7.9,7.9,7.9
,Diospyros sp.MahaSarakham1,Diospyros sp.MahaSarakham1,4,0,4,,,,2.7,5.75,7.7
,Diospyros sp.SaKaeo1,Diospyros sp.SaKaeo1,1,0,1,,,,13,13,13
,Diospyros sp.Trang 1,Diospyros sp.Trang 1,1,0,1,,,,9.5,9.5,9.5
,Diospyros sp.Trang2,Diospyros sp.Trang2,8,0,8,,,,8.1,10.15,12.4
,Diospyros sp.Trat1,Diospyros sp.Trat1,3,0,3,,,,8,10.3,14
,Ehretia sp.Ratchaburi1,Ehretia sp.Ratchaburi1,2,0,2,,,,4.5,4.6,4.7
,Elaeocarpus sp.AmnatCharoen1,Elaeocarpus sp.AmnatCharoen1,2,0,2,,,,14.5,17.45,20.4
,Flacourtia sp.,Flacourtia sp.,1,1,1,10.6,10.6,10.6,11.1,11.1,11.1
,Gluta sp.Buriram1,Gluta sp.Buriram1,1,0,1,,,,6.4,6.4,6.4
,Gluta sp.Trat1,Gluta sp.Trat1,18,0,18,,,,2.5,16.74,20.7
,Gmelina sp.AmnatCharoen1,Gmelina sp.AmnatCharoen1,1,0,1,,,,6.8,6.8,6.8
,Homalium sp.,Homalium sp.,1,1,1,3.5,3.5,3.5,4.6,4.6,4.6
,Lithocarpus sp.,Lithocarpus sp.,1,1,1,12.7,12.7,12.7,11.7,11.7,11.7
,Litsea sp.Trat1,Litsea sp.Trat1,1,0,1,,,,6,6,6
,Madhuca sp.Phrae1,Madhuca sp.Phrae1,8,0,8,,,,5.4,6.49,8.6
,Mangifera sp.,Mangifera sp.,2,2,1,4,5.5,7,8,8,8
,Memecylon sp.Trat1,Memecylon sp.Trat1,1,0,1,,,,13.4,13.4,13.4
,Millettia sp.1,Millettia sp.1,29,29,29,1.9,5.89,11.1,3.4,7.58,12.8
,Millettia sp.2,Millettia sp.2,1,1,1,7.4,7.4,7.4,8.1,8.1,8.1
,Millettia sp.Tak1,Millettia sp.Tak1,2,0,2,,,,2.5,3.95,5.4
,Premna sp.,Premna sp.,1,1,1,8.2,8.2,8.2,7.1,7.1,7.1
,Stereospermum sp.Trang1,Stereospermum sp.Trang1,1,0,1,,,,11.2,11.2,11.2
,Symplocos sp.MaeHongSon1,Symplocos sp.MaeHongSon1,1,0,1,,,,8.5,8.5,8.5
,Syzygium sp.Narathiwat1,Syzygium sp.Narathiwat1,60,0,60,,,,3.1,6.89,11.4
,Syzygium sp.Trang1,Syzygium sp.Trang1,10,0,10,,,,5.9,9.06,13.9
,Syzygium sp.Trang2,Syzygium sp.Trang2,1,0,1,,,,12.4,12.4,12.4
,Syzygium sp.Trat1,Syzygium sp.Trat1,6,0,6,,,,10.4,15.32,21.4
,Syzygium sp.Trat2,Syzygium sp.Trat2,4,0,4,,,,15.8,20.55,23.7
,Syzygium sp.พัฒนาราม,Syzygium sp.พัฒนาราม,1,1,1,12.7,12.7,12.7,11,11,11
,Unknown,Unknown,1,0,1,,,,15.8,15.8,15.8
,Unknown genus-Bignoniaceae-UthaiThani,Unknown genus-Bignoniaceae-UthaiThani,1,0,1,,,,18,18,18
,Unknown genus-Fabaceae-Uttaradit,Unknown genus-Fabaceae-Uttaradit,1,0,1,,,,5.6,5.6,5.6
,Unknown genus-Lauraceae-Trat-1,Unknown genus-Lauraceae-Trat-1,6,0,6,,,,9.3,15.32,20.3
,Unknown genus-Lauraceae-Trat-2,Unknown genus-Lauraceae-Trat-2,1,0,1,,,,20,20,20
,Unknown ป่ากลางกรุง ปตท,Unknown ป่ากลางกรุง ปตท,1,0,1,,,,10.4,10.4,10.4
,Unknown วิทยาลัยเกษตรอุดร,Unknown วิทยาลัยเกษตรอุดร,1,0,1,,,,22,22,22
,Unknown-genus-Anacardiaceae-MaeHongSon,Unknown-genus-Anacardiaceae-MaeHongSon,1,0,1,,,,13.5,13.5,13.5
,Unknown-genus-Phyllanthaceae-MaeHongSon,Unknown-genus-Phyllanthaceae-MaeHongSon,3,0,3,,,,6,7.07,9.2
,Unknown1 วัดป่าขมิ้น,Unknown1 วัดป่าขมิ้น,1,1,1,10.6,10.6,10.6,8.1,8.1,8.1
,Unknown1 วัดป่าหนองกุง,Unknown1 วัดป่าหนองกุง,1,1,1,5,5,5,4.2,4.2,4.2
,Unknown1 เขาน้ำซับ,Unknown1 เขาน้ำซับ,1,1,1,10.5,10.5,10.5,7.3,7.3,7.3
,Unknown2 วัดป่าหนองกุง,Unknown2 วัดป่าหนองกุง,1,1,1,5,5,5,2.6,2.6,2.6
,Unknown2 วิทยาลัยชุมชน,Unknown2 วิทยาลัยชุมชน,1,1,1,7,7,7,8,8,8
,Unknown3 วัดป่าหนองกุง,Unknown3 วัดป่าหนองกุง,1,1,1,6.5,6.5,6.5,8.5,8.5,8.5
,Unknown4 วัดป่าหนองกุง,Unknown4 วัดป่าหนองกุง,1,1,1,15,15,15,15,15,15
,Unknown5 วัดป่าหนองกุง,Unknown5 วัดป่าหนองกุง,1,1,1,12,12,12,9.2,9.2,9.2
,Xerospermum sp.Trat1,Xerospermum sp.Trat1,6,0,6,,,,4.6,9.25,16
,,,4,0,1,,,,,,
